acousticness,billboard_artist,billboard_df_index,billboard_name,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.0229,keith sweat,3089.0,make you sweat,0.484,252213.0,0.706,0.0,08R1hMx1ARs5s9ZkscPnnu,0.0,4.0,0.168,-7.638,0.0,37.0,2004-01-13,0.073,The Best of Keith Sweat: Make You Sweat,Keith Sweat,Make It Last Forever (with Jacci McGhee),168.02,4.0,audio_features,spotify:track:08R1hMx1ARs5s9ZkscPnnu,0.412
0.198,new kids on the block,3090.0,this ones for the children,0.594,238467.0,0.421,0.0,78bDGxqn2KF2VU1G3Kz6J0,0.0,7.0,0.0832,-13.707,0.0,28.0,1989,0.0312,"Merry, Merry Christmas",New Kids On The Block,This One's for the Children,74.041,4.0,audio_features,spotify:track:78bDGxqn2KF2VU1G3Kz6J0,0.637
0.0291,aerosmith,3091.0,what it takes,0.521,310533.0,0.728,0.0,2fAYTT9kcUm8tnUrhD80sC,2.49e-06,0.0,0.412,-6.398,1.0,48.0,1994-01-01,0.0335,Big Ones,Aerosmith,What It Takes,142.877,4.0,audio_features,spotify:track:2fAYTT9kcUm8tnUrhD80sC,0.462
0.211,kiss,3092.0,forever,0.551,233427.0,0.647,0.0,2o4u19nlQWOGg5mLanT7Pg,1.86e-05,6.0,0.0526,-10.492,1.0,45.0,1989-10-17,0.0251,Hot In The Shade,KISS,Forever,88.276,4.0,audio_features,spotify:track:2o4u19nlQWOGg5mLanT7Pg,0.591
0.0239,the time,3093.0,jerk out,0.792,409333.0,0.897,0.0,2QzLYgjE7zTj1lb6Wi1aPx,0.000999,9.0,0.0491,-6.777,0.0,30.0,1990,0.0537,Pandemonium,The Time,Jerk Out #3,120.639,4.0,audio_features,spotify:track:2QzLYgjE7zTj1lb6Wi1aPx,0.9
0.12,biz markie,3094.0,just a friend,0.862,238267.0,0.663,0.0,3yNVfRQlUPViUh8O2V9SQn,0.0,0.0,0.318,-9.004,1.0,63.0,1994-08-07,0.21,Biz's Baddest Beats: The Best Of Biz Markie,Biz Markie,Just A Friend,85.308,4.0,audio_features,spotify:track:3yNVfRQlUPViUh8O2V9SQn,0.837
0.00622,motley crue,3096.0,without you,0.524,270187.0,0.759,0.0,2zjvTdpUoMpxNIY6e7jKOi,5.65e-05,5.0,0.0652,-4.152,1.0,47.0,1989,0.0286,Dr. Feelgood 20th Anniversary (Expanded Version),Mötley Crüe,Without You,118.001,4.0,audio_features,spotify:track:2zjvTdpUoMpxNIY6e7jKOi,0.283
0.049,jive bunny and the mastermixers,3097.0,swing the mood,0.865,259573.0,0.512,0.0,3Aimpqxpvmz7jhJlNnEd5c,0.0173,8.0,0.201,-13.376,1.0,45.0,2009-10-19,0.0521,Jive Bunny And The Mastermixers The Biggest Party On The Planet,Jive Bunny and the Mastermixers,Swing The Mood,92.512,4.0,audio_features,spotify:track:3Aimpqxpvmz7jhJlNnEd5c,0.879
0.0228,prince,3098.0,thieves in the temple,0.775,200680.0,0.676,0.0,403oiKw757eJnbDKPSjhHV,0.0,5.0,0.0631,-10.582,0.0,44.0,1990-08-17,0.042,Music From Graffiti Bridge,Prince,Thieves in the Temple,129.948,4.0,audio_features,spotify:track:403oiKw757eJnbDKPSjhHV,0.646
0.0678,mellow man ace,3099.0,mentirosa,0.966,258533.0,0.505,0.0,3P6fS71hWhZvOnnxQojJ0Z,0.0,1.0,0.197,-14.762,1.0,43.0,1989,0.111,Escape From Havana,Mellow Man Ace,Mentirosa,113.592,4.0,audio_features,spotify:track:3P6fS71hWhZvOnnxQojJ0Z,0.826
0.00427,kyper,3100.0,tic tac toe,0.808,383427.0,0.912,0.0,4WqIpnqW9EvBXlT4jJFa0M,0.0853,7.0,0.315,-5.277,1.0,23.0,2011-10-11,0.149,"Dangerous Dance, Vol. 1",Kyper,Tic Tac Toe (Original Mix),125.812,4.0,audio_features,spotify:track:4WqIpnqW9EvBXlT4jJFa0M,0.402
0.0816,bryan adams,3101.0,everything i do i do it for you,0.519,394133.0,0.372,0.0,6eBK3edMW7bEzecF1eCezc,4.67e-05,1.0,0.0652,-12.635,1.0,64.0,1991-09-24,0.0284,Waking Up The Neighbours,Bryan Adams,(Everything I Do) I Do It For You,131.227,4.0,audio_features,spotify:track:6eBK3edMW7bEzecF1eCezc,0.298
0.00549,color me badd,3102.0,i wanna sex you up,0.551,236947.0,0.591,0.0,3lsse1FoSHnNXc6y0jHxvd,6.55e-06,6.0,0.0416,-8.404,0.0,59.0,1991-03-05,0.12,Music From The Motion Picture New Jack City,Color Me Badd,I Wanna Sex You Up - Single Mix,201.799,4.0,audio_features,spotify:track:3lsse1FoSHnNXc6y0jHxvd,0.474
0.763,paula abdul,3104.0,rush rush,0.706,292933.0,0.44,0.0,015qd1I4v00JIoK7yOUgKC,0.0,4.0,0.0958,-11.577,1.0,60.0,1992-06-29,0.0493,Spellbound,Paula Abdul,"Rush, Rush",90.012,4.0,audio_features,spotify:track:015qd1I4v00JIoK7yOUgKC,0.395
0.191,timmy t,3105.0,one more try,0.641,209427.0,0.573,0.0,2drQ6wg2hdl6RDslarifh8,0.0,9.0,0.317,-9.198,1.0,43.0,1990-03-15,0.0485,Time After Time,Timmy T,One More Try,149.826,5.0,audio_features,spotify:track:2drQ6wg2hdl6RDslarifh8,0.5
0.000341,emf,3106.0,unbelievable,0.637,209813.0,0.849,1.0,5VYTKiOnHw4iTrB9pG3yum,0.0386,1.0,0.141,-6.855,1.0,60.0,1991-05-07,0.0362,Schubert Dip,EMF,Unbelievable,104.074,4.0,audio_features,spotify:track:5VYTKiOnHw4iTrB9pG3yum,0.936
0.468,extreme,3107.0,more than words,0.615,334107.0,0.129,0.0,1gVgkQFOKa8Wc1HYsJtPdH,0.0,6.0,0.114,-14.892,1.0,66.0,1990-01-01,0.0286,Extreme II - Pornograffitti,Extreme,More Than Words,91.769,4.0,audio_features,spotify:track:1gVgkQFOKa8Wc1HYsJtPdH,0.249
0.215,surface,3109.0,the first time,0.637,256000.0,0.354,0.0,4iqnWPNCt4hhZ96KhjlJKq,0.000704,10.0,0.0961,-11.964,1.0,33.0,1986,0.0283,The First Time: The Best Of Surface,Surface,The First Time,126.435,4.0,audio_features,spotify:track:4iqnWPNCt4hhZ96KhjlJKq,0.111
0.426,amy grant,3110.0,baby baby,0.702,236973.0,0.901,0.0,3IDsegNBHC4pjGCOMTQYlU,0.00153,1.0,0.0368,-4.45,1.0,51.0,1991,0.0264,Heart In Motion,Amy Grant,"Baby, Baby",97.862,4.0,audio_features,spotify:track:3IDsegNBHC4pjGCOMTQYlU,0.919
0.0171,boyz ii men,3111.0,motownphilly,0.756,235320.0,0.858,0.0,4wDSLkTUIpRsn3UbCzW9wV,2.17e-05,2.0,0.194,-9.649,1.0,54.0,2003-10-07,0.0682,The Best Of Boyz II Men 20th Century Masters The Millennium Collection,Boyz II Men,Motownphilly - Original Version,114.144,4.0,audio_features,spotify:track:4wDSLkTUIpRsn3UbCzW9wV,0.758
0.74,stevie b,3112.0,because i love you the postman song,0.506,300107.0,0.321,0.0,5133Vr9T5jaSNBlqSQRJDx,1.21e-06,1.0,0.125,-11.796,1.0,28.0,1998,0.0289,Best Of Stevie B,Stevie B,Because I Love You [The Postman Song],128.391,4.0,audio_features,spotify:track:5133Vr9T5jaSNBlqSQRJDx,0.0724
0.206,mariah carey,3113.0,someday,0.685,246107.0,0.819,0.0,6TSM5vkz0WzyZsNAKKYDcw,2.23e-06,1.0,0.0251,-8.686,0.0,46.0,1990-06-12,0.0405,Mariah Carey,Mariah Carey,Someday,109.855,4.0,audio_features,spotify:track:6TSM5vkz0WzyZsNAKKYDcw,0.937
0.0241,damn yankees,3114.0,high enough,0.273,287320.0,0.537,0.0,5t5rCnsgRBtcKqTB7SbD1Q,0.0,2.0,0.0922,-9.612,1.0,58.0,1990,0.0306,Damn Yankees,Damn Yankees,High Enough,81.814,4.0,audio_features,spotify:track:5t5rCnsgRBtcKqTB7SbD1Q,0.232
0.674,bette midler,3115.0,from a distance,0.536,276346.0,0.242,0.0,48eiLW57CqSmCYNZRM2J8M,0.0,7.0,0.331,-11.716,1.0,50.0,1990,0.0277,Some People's Lives,Bette Midler,From A Distance,137.989,4.0,audio_features,spotify:track:48eiLW57CqSmCYNZRM2J8M,0.331
