index,artist_all,artist_base,rank,song,year,artist_featured
98,the new christy minstrels,the new christy minstrels,99,"green, green",1963,
99,freddie scott,freddie scott,100,hey girl,1963,
0,the beatles,the beatles,1,i want to hold your hand,1964,
1,the beatles,the beatles,2,she loves you,1964,
2,louis armstrong,louis armstrong,3,"hello, dolly!",1964,
3,roy orbison,roy orbison,4,"oh, pretty woman",1964,
4,the beach boys,the beach boys,5,i get around,1964,
5,dean martin,dean martin,6,everybody loves somebody,1964,
6,mary wells,mary wells,7,my guy,1964,
7,gale garnett,gale garnett,8,we'll sing in the sunshine,1964,
8,j. frank wilson & the cavaliers,j. frank wilson & the cavaliers,9,last kiss,1964,
9,the supremes,the supremes,10,where did our love go,1964,
10,barbra streisand,barbra streisand,11,people,1964,
11,al hirt,al hirt,12,java,1964,
12,the beatles,the beatles,13,a hard day's night,1964,
13,the beatles,the beatles,14,love me do,1964,
14,manfred mann,manfred mann,15,do wah diddy diddy,1964,
15,the beatles,the beatles,16,please please me,1964,
16,martha and the vandellas,martha and the vandellas,17,dancing in the street,1964,
17,billy j. kramer  &  the dakotas,billy j. kramer,18,little children,1964,
18,the ray charles singers,the ray charles singers,19,love me with all your heart (cuando calienta el sol),1964,
19,the drifters,the drifters,20,under the boardwalk,1964,
20,the dixie cups,the dixie cups,21,chapel of love,1964,
21,terry stafford,terry stafford,22,suspicion,1964,
22,the dave clark five,the dave clark five,23,glad all over,1964,
23,the four seasons,the four seasons,24,rag doll,1964,
24,the four seasons,the four seasons,25,dawn (go away),1964,
25,the newbeats,the newbeats,26,bread and butter,1964,
26,gene pitney,gene pitney,27,it hurts to be in love,1964,
27,jan and dean,jan and dean,28,dead man's curve,1964,
28,jay and the americans,jay and the americans,29,come a little bit closer,1964,
29,peter and gordon,peter and gordon,30,a world without love,1964,
30,the honeycombs,the honeycombs,31,have i the right?,1964,
31,the serendipity singers,the serendipity singers,32,don't let the rain come down (crooked little man),1964,
32,the supremes,the supremes,33,baby love,1964,
33,betty everett  &  jerry butler,betty everett,34,let it be me,1964,
34,dusty springfield,dusty springfield,35,wishin' and hopin',1964,
35,lesley gore,lesley gore,36,you don't own me,1964,
36,dionne warwick,dionne warwick,37,walk on by,1964,
37,the animals,the animals,38,the house of the rising sun,1964,
38,ronny & the daytonas,ronny & the daytonas,39,g.t.o.,1964,
39,the beatles,the beatles,40,twist and shout,1964,
40,johnny rivers,johnny rivers,41,memphis,1964,
41,danny williams,danny williams,42,white on white,1964,
42,the rip chords,the rip chords,43,hey little cobra,1964,
43,betty everett,betty everett,44,the shoop shoop song (it's in his kiss),1964,
44,the dave clark five,the dave clark five,45,bits and pieces,1964,
45,millie small,millie small,46,my boy lollipop,1964,
46,major lance,major lance,47,"um, um, um, um, um, um",1964,
47,jan and dean,jan and dean,48,the little old lady from pasadena,1964,
48,gerry and the pacemakers,gerry and the pacemakers,49,don't let the sun catch you crying,1964,
49,chad & jeremy,chad & jeremy,50,a summer song,1964,
50,stan getz  &  astrud gilberto,stan getz,51,the girl from ipanema,1964,
51,the beatles,the beatles,52,can't buy me love,1964,
52,the shangri-las,the shangri-las,53,remember (walking in the sand),1964,
53,bobby freeman,bobby freeman,54,c'mon and swim,1964,
54,the beatles,the beatles,55,do you want to know a secret,1964,
55,the impressions,the impressions,56,keep on pushing,1964,
56,the four tops,the four tops,57,baby i need your loving,1964,
57,diane renay,diane renay,58,navy blue,1964,
58,the bachelors,the bachelors,59,diane,1964,
59,the marketts,the marketts,60,out of limits,1964,
60,the hondells,the hondells,61,little honda,1964,
61,roger miller,roger miller,62,chug-a-lug,1964,
62,bobby goldsboro,bobby goldsboro,63,see the funny little clown,1964,
63,the dave clark five,the dave clark five,64,because,1964,
64,the reflections,the reflections,65,(just like) romeo and juliet,1964,
65,rick nelson,rick nelson,66,for you,1964,
66,the new christy minstrels,the new christy minstrels,67,today,1964,
67,the dave clark five,the dave clark five,68,can't you see that she's mine,1964,
68,the shangri-las,the shangri-las,69,leader of the pack,1964,
69,joe hinton,joe hinton,70,funny how time slips away,1964,
70,the temptations,the temptations,71,the way you do the things you do,1964,
71,dionne warwick,dionne warwick,72,anyone who had a heart,1964,
72,al martino,al martino,73,i love you more and more every day,1964,
73,roy orbison,roy orbison,74,it's over,1964,
74,the four seasons,the four seasons,75,ronnie,1964,
75,the trashmen,the trashmen,76,surfin' bird,1964,
76,the tams,the tams,77,what kind of fool (do you think i am),1964,
77,dean martin,dean martin,78,the door is still open to my heart,1964,
78,the kinks,the kinks,79,you really got me,1964,
79,sammy davis jr.,sammy davis jr.,80,the shelter of your arms,1964,
80,the impressions,the impressions,81,i'm so proud,1964,
81,the jelly beans,the jelly beans,82,i wanna love him so bad,1964,
82,roger miller,roger miller,83,dang me,1964,
83,al hirt,al hirt,84,cotton candy,1964,
84,nancy wilson,nancy wilson,85,(you don't know) how glad i am,1964,
85,the kingsmen,the kingsmen,86,money (that's what i want),1964,
86,the searchers,the searchers,87,don't throw your love away,1964,
87,tommy tucker,tommy tucker,88,hi-heel sneakers,1964,
88,gerry and the pacemakers,gerry and the pacemakers,89,how do you do it?,1964,
89,the ventures,the ventures,90,walk dont run,1964,
90,the dave clark five,the dave clark five,91,do you love me,1964,
91,robert maxwell,robert maxwell,92,shangri-la,1964,
92,jumpin' gene simmons,jumpin' gene simmons,93,haunted house,1964,
93,jimmy hughes,jimmy hughes,94,steal away,1964,
94,the beatles,the beatles,95,i saw her standing there,1964,
95,andy williams,andy williams,96,a fool never learns,1964,
96,billy j. kramer  &  the dakotas,billy j. kramer,97,bad to me,1964,
97,bobby vinton,bobby vinton,98,there! i've said it again,1964,
98,the kingsmen,the kingsmen,99,louie louie,1964,
99,the searchers,the searchers,100,needles and pins,1964,
0,sam the sham and the pharaohs,sam the sham,1,wooly bully,1965,
